hgnc_symbol	uniprot_id	uniprot_swissprot	uniprot_trembl	ensembl_gene_id	description
BAHCC1	A0AAG2UUQ8		A0AAG2UUQ8	ENSG00000291421	BAH domain and coiled-coil containing 1 [Source:HGNC Symbol;Acc:HGNC:29279]
ECSCR	Q19T08	Q19T08		ENSG00000288297	endothelial cell surface expressed chemotaxis and apoptosis regulator [Source:HGNC Symbol;Acc:HGNC:35454]
SMIM33	A0A1B0GW64	A0A1B0GW64		ENSG00000288274	small integral membrane protein 33 [Source:HGNC Symbol;Acc:HGNC:53645]
STING1	Q86WV6	Q86WV6		ENSG00000288243	stimulator of interferon response cGAMP interactor 1 [Source:HGNC Symbol;Acc:HGNC:27962]
RBMY1D	F2Z2U1		F2Z2U1	ENSG00000244395	RNA binding motif protein Y-linked family 1 member D [Source:HGNC Symbol;Acc:HGNC:23915]
RBMY1E	F2Z2U1		F2Z2U1	ENSG00000242389	RNA binding motif protein Y-linked family 1 member E [Source:HGNC Symbol;Acc:HGNC:23916]
RBMY1F	Q15415	Q15415		ENSG00000169800	RNA binding motif protein Y-linked family 1 member F [Source:HGNC Symbol;Acc:HGNC:23974]
RBMY1J	Q15415	Q15415		ENSG00000226941	RNA binding motif protein Y-linked family 1 member J [Source:HGNC Symbol;Acc:HGNC:23917]
TMPRSS15	P98073	P98073		ENSG00000154646	transmembrane serine protease 15 [Source:HGNC Symbol;Acc:HGNC:9490]
CXADR	P78310	P78310		ENSG00000154639	CXADR Ig-like cell adhesion molecule [Source:HGNC Symbol;Acc:HGNC:2559]
IGHV1OR21-1	A0A087WYE8		A0A087WYE8	ENSG00000277282	immunoglobulin heavy variable 1/OR21-1 (non-functional) [Source:HGNC Symbol;Acc:HGNC:38040]
URB1	O60287	O60287		ENSG00000142207	URB1 ribosome biogenesis homolog [Source:HGNC Symbol;Acc:HGNC:17344]
KRTAP25-1	Q3LHN0	Q3LHN0		ENSG00000232263	keratin associated protein 25-1 [Source:HGNC Symbol;Acc:HGNC:34003]
JAM2	P57087	P57087		ENSG00000154721	junctional adhesion molecule 2 [Source:HGNC Symbol;Acc:HGNC:14686]
C1R	A0A3B3ISR2		A0A3B3ISR2	ENSG00000288512	complement C1r [Source:HGNC Symbol;Acc:HGNC:1246]
CLDN17	P56750	P56750		ENSG00000156282	claudin 17 [Source:HGNC Symbol;Acc:HGNC:2038]
KRTAP24-1	Q3LI83	Q3LI83		ENSG00000188694	keratin associated protein 24-1 [Source:HGNC Symbol;Acc:HGNC:33902]
C1RL	H0YGP8		H0YGP8	ENSG00000288124	complement C1r subcomponent like [Source:HGNC Symbol;Acc:HGNC:21265]
RBP5	P82980	P82980		ENSG00000288369	retinol binding protein 5 [Source:HGNC Symbol;Acc:HGNC:15847]
CLSTN3	F5H172		F5H172	ENSG00000288427	calsyntenin 3 [Source:HGNC Symbol;Acc:HGNC:18371]
SCAF4	O95104	O95104		ENSG00000156304	SR-related CTD associated factor 4 [Source:HGNC Symbol;Acc:HGNC:19304]
NCAM2	O15394	O15394		ENSG00000154654	neural cell adhesion molecule 2 [Source:HGNC Symbol;Acc:HGNC:7657]
CLDN8	P56748	P56748	A0A0K0K1I9	ENSG00000156284	claudin 8 [Source:HGNC Symbol;Acc:HGNC:2050]
MIPEP	Q99797	Q99797		ENSG00000027001	mitochondrial intermediate peptidase [Source:HGNC Symbol;Acc:HGNC:7104]
HUNK	P57058	P57058		ENSG00000142149	hormonally up-regulated Neu-associated kinase [Source:HGNC Symbol;Acc:HGNC:13326]
C21orf91	Q9NYK6	Q9NYK6		ENSG00000154642	chromosome 21 open reading frame 91 [Source:HGNC Symbol;Acc:HGNC:16459]
PEX5	F5GZ41		F5GZ41	ENSG00000288217	peroxisomal biogenesis factor 5 [Source:HGNC Symbol;Acc:HGNC:9719]
OR4C12	Q96R67	Q96R67		ENSG00000284255	olfactory receptor family 4 subfamily C member 12 [Source:HGNC Symbol;Acc:HGNC:15168]
KPNA3	O00505	O00505		ENSG00000102753	karyopherin subunit alpha 3 [Source:HGNC Symbol;Acc:HGNC:6396]
MORC3	Q14149	Q14149		ENSG00000159256	MORC family CW-type zinc finger 3 [Source:HGNC Symbol;Acc:HGNC:23572]
CRYL1	A0A2R8Y7B4		A0A2R8Y7B4	ENSG00000165475	crystallin lambda 1 [Source:HGNC Symbol;Acc:HGNC:18246]
CAB39L	Q9H9S4	Q9H9S4		ENSG00000102547	calcium binding protein 39 like [Source:HGNC Symbol;Acc:HGNC:20290]
PAXBP1	Q9Y5B6	Q9Y5B6		ENSG00000159086	PAX3 and PAX7 binding protein 1 [Source:HGNC Symbol;Acc:HGNC:13579]
DNAJC15	Q9Y5T4	Q9Y5T4		ENSG00000120675	DnaJ heat shock protein family (Hsp40) member C15 [Source:HGNC Symbol;Acc:HGNC:20325]
GPR12	P47775	P47775	A8K2F5	ENSG00000132975	G protein-coupled receptor 12 [Source:HGNC Symbol;Acc:HGNC:4466]
EPCIP	Q9NYP8	Q9NYP8		ENSG00000205929	exosomal polycystin 1 interacting protein [Source:HGNC Symbol;Acc:HGNC:1305]
COLEC12	Q5KU26	Q5KU26		ENSG00000158270	collectin subfamily member 12 [Source:HGNC Symbol;Acc:HGNC:16016]
WASF3	A0A590UJ74		A0A590UJ74	ENSG00000132970	WASP family member 3 [Source:HGNC Symbol;Acc:HGNC:12734]
CHODL	Q9H9P2	Q9H9P2		ENSG00000154645	chondrolectin [Source:HGNC Symbol;Acc:HGNC:17807]
BACH1	F8VZL7		F8VZL7	ENSG00000156273	BTB domain and CNC homolog 1 [Source:HGNC Symbol;Acc:HGNC:935]
RAB31	Q13636	Q13636		ENSG00000168461	RAB31, member RAS oncogene family [Source:HGNC Symbol;Acc:HGNC:9771]
YES1	J3QRU1		J3QRU1	ENSG00000176105	YES proto-oncogene 1, Src family tyrosine kinase [Source:HGNC Symbol;Acc:HGNC:12841]
OR5T2	Q8NGG2	Q8NGG2		ENSG00000262851	olfactory receptor family 5 subfamily T member 2 [Source:HGNC Symbol;Acc:HGNC:15296]
OR5T3	Q8NGG3	Q8NGG3		ENSG00000261897	olfactory receptor family 5 subfamily T member 3 [Source:HGNC Symbol;Acc:HGNC:15297]
OR5T1	Q8NG75	Q8NG75	A0A126GVL6	ENSG00000262784	olfactory receptor family 5 subfamily T member 1 [Source:HGNC Symbol;Acc:HGNC:14821]
OR8H1	Q8NGG4	Q8NGG4	A0A126GVW6	ENSG00000262611	olfactory receptor family 8 subfamily H member 1 [Source:HGNC Symbol;Acc:HGNC:14824]
NDUFV2	J3KRB4		J3KRB4	ENSG00000178127	NADH:ubiquinone oxidoreductase core subunit V2 [Source:HGNC Symbol;Acc:HGNC:7717]
OR8K3	Q8NH51	Q8NH51		ENSG00000262755	olfactory receptor family 8 subfamily K member 3 (gene/pseudogene) [Source:HGNC Symbol;Acc:HGNC:15313]
ETS2	P15036	P15036		ENSG00000157557	ETS proto-oncogene 2, transcription factor [Source:HGNC Symbol;Acc:HGNC:3489]
OR8K1	Q8NGG5	Q8NGG5	A0A126GVZ6	ENSG00000263328	olfactory receptor family 8 subfamily K member 1 [Source:HGNC Symbol;Acc:HGNC:14831]
OR8J1	Q8NGP2	Q8NGP2		ENSG00000262796	olfactory receptor family 8 subfamily J member 1 [Source:HGNC Symbol;Acc:HGNC:14855]
OR8U8	A0AAG2T390		A0AAG2T390	ENSG00000262315	olfactory receptor family 8 subfamily U member 8 [Source:HGNC Symbol;Acc:HGNC:27538]
OR8U9	P0C7N5	P0C7N5		ENSG00000281038	olfactory receptor family 8 subfamily U member 9 [Source:HGNC Symbol;Acc:HGNC:29166]
KCNJ15	F8VW46		F8VW46	ENSG00000157551	potassium inwardly rectifying channel subfamily J member 15 [Source:HGNC Symbol;Acc:HGNC:6261]
POSTN	Q15063	Q15063		ENSG00000133110	periostin [Source:HGNC Symbol;Acc:HGNC:16953]
CELF4	K7EJW4		K7EJW4	ENSG00000101489	CUGBP Elav-like family member 4 [Source:HGNC Symbol;Acc:HGNC:14015]
CRYZL1	O95825	O95825		ENSG00000205758	crystallin zeta like 1 [Source:HGNC Symbol;Acc:HGNC:2420]
FNDC3A	Q9Y2H6	Q9Y2H6		ENSG00000102531	fibronectin type III domain containing 3A [Source:HGNC Symbol;Acc:HGNC:20296]
N6AMT1	Q9Y5N5	Q9Y5N5		ENSG00000156239	N-6 adenine-specific DNA methyltransferase 1 [Source:HGNC Symbol;Acc:HGNC:16021]
LHFPL6	Q9Y693	Q9Y693		ENSG00000183722	LHFPL tetraspan subfamily member 6 [Source:HGNC Symbol;Acc:HGNC:6586]
