"Stratum"	"GeneID"
2	"ARHGAP36"
1	"ARHGAP39"
1	"ARHGAP4"
2	"ARHGAP40"
1	"ARHGAP42"
1	"ARHGAP44"
1	"ARHGAP45"
1	"ARHGAP5"
1	"ARHGAP6"
1	"ARHGAP8"
1	"ARHGAP9"
1	"ARHGDIA"
1	"ARHGDIB"
1	"ARHGDIG"
2	"ARHGEF1"
1	"ARHGEF10"
1	"ARHGEF10L"
2	"ARHGEF11"
2	"ARHGEF12"
2	"ARHGEF15"
2	"ARHGEF16"
2	"ARHGEF17"
2	"ARHGEF18"
2	"ARHGEF19"
2	"ARHGEF2"
1	"ARHGEF25"
2	"ARHGEF26"
2	"ARHGEF28"
2	"ARHGEF3"
2	"ARHGEF33"
18	"ARHGEF35"
2	"ARHGEF37"
1	"ARHGEF38"
2	"ARHGEF39"
1	"ARHGEF4"
4	"ARHGEF40"
2	"ARHGEF5"
1	"ARHGEF6"
1	"ARHGEF7"
1	"ARHGEF9"
3	"ARID1A"
2	"ARID1B"
1	"ARID2"
1	"ARID3A"
2	"ARID3B"
2	"ARID3C"
2	"ARID4A"
1	"ARID4B"
2	"ARID5A"
2	"ARID5B"
1	"ARIH1"
1	"ARIH2"
1	"ARK2C"
10	"ARK2N"
1	"ARL1"
1	"ARL10"
1	"ARL11"
1	"ARL13A"
1	"ARL13B"
1	"ARL14"
5	"ARL14EP"
5	"ARL14EPL"
1	"ARL15"
2	"ARL16"
1	"ARL17A"
1	"ARL17B"
1	"ARL2"
1	"ARL2-SNX15"
1	"ARL2BP"
1	"ARL3"
1	"ARL4A"
1	"ARL4C"
1	"ARL4D"
1	"ARL5A"
1	"ARL5B"
1	"ARL5C"
1	"ARL6"
6	"ARL6IP1"
2	"ARL6IP4"
1	"ARL6IP5"
6	"ARL6IP6"
1	"ARL8A"
1	"ARL8B"
1	"ARL9"
2	"ARMC1"
5	"ARMC10"
9	"ARMC12"
2	"ARMC2"
1	"ARMC3"
5	"ARMC5"
1	"ARMC6"
2	"ARMC7"
2	"ARMC8"
2	"ARMC9"
5	"ARMCX1"
5	"ARMCX2"
5	"ARMCX3"
6	"ARMCX4"
10	"ARMCX5"
10	"ARMCX6"
2	"ARMH1"
5	"ARMH2"
2	"ARMH3"
9	"ARMH4"
21	"ARMS2"
1	"ARMT1"
1	"ARNT"
1	"ARNT2"
1	"ARPC1A"
1	"ARPC1B"
1	"ARPC2"
1	"ARPC3"
1	"ARPC4"
1	"ARPC4-TTLL3"
2	"ARPC5"
2	"ARPC5L"
2	"ARPIN"
1	"ARPIN-AP3S2"
5	"ARPP19"
2	"ARPP21"
1	"ARR3"
1	"ARRB1"
1	"ARRB2"
2	"ARRDC1"
1	"ARRDC2"
1	"ARRDC3"
1	"ARRDC4"
1	"ARSA"
1	"ARSB"
1	"ARSD"
1	"ARSF"
1	"ARSG"
1	"ARSH"
1	"ARSI"
1	"ARSJ"
1	"ARSK"
1	"ARSL"
5	"ART1"
10	"ART3"
6	"ART4"
5	"ART5"
9	"ARTN"
2	"ARV1"
1	"ARVCF"
1	"ARX"
1	"AS3MT"
1	"ASAH1"
1	"ASAH2"
1	"ASAH2B"
1	"ASAP1"
1	"ASAP2"
1	"ASAP3"
6	"ASB1"
8	"ASB10"
1	"ASB11"
6	"ASB12"
6	"ASB13"
6	"ASB14"
3	"ASB15"
1	"ASB16"
6	"ASB17"
7	"ASB18"
1	"ASB2"
1	"ASB3"
2	"ASB4"
2	"ASB5"
1	"ASB6"
1	"ASB7"
6	"ASB8"
2	"ASB9"
1	"ASCC1"
2	"ASCC2"
1	"ASCC3"
5	"ASCL1"
5	"ASCL2"
5	"ASCL3"
5	"ASCL4"
5	"ASCL5"
6	"ASDURF"
1	"ASF1A"
1	"ASF1B"
1	"ASGR1"
1	"ASGR2"
1	"ASH1L"
1	"ASH2L"
2	"ASIC1"
2	"ASIC2"
2	"ASIC3"
2	"ASIC4"
2	"ASIC5"
10	"ASIP"
1	"ASL"
1	"ASMT"
1	"ASMTL"
1	"ASNS"
1	"ASNSD1"
1	"ASPA"
1	"ASPDH"
1	"ASPG"
1	"ASPH"
1	"ASPHD1"
1	"ASPHD2"
1	"ASPM"
1	"ASPN"
1	"ASPRV1"
1	"ASPSCR1"
1	"ASRGL1"
1	"ASS1"
1	"ASTE1"
1	"ASTL"
8	"ASTN1"
6	"ASTN2"
3	"ASXL1"
5	"ASXL2"
5	"ASXL3"
1	"ASZ1"
1	"ATAD1"
1	"ATAD2"
1	"ATAD2B"
1	"ATAD3A"
1	"ATAD3B"
1	"ATAD3C"
1	"ATAD5"
2	"ATAT1"
1	"ATCAY"
1	"ATE1"
1	"ATF1"
2	"ATF2"
1	"ATF3"
1	"ATF4"
1	"ATF5"
4	"ATF6"
5	"ATF6B"
2	"ATF7"
2	"ATF7-NPFF"
1	"ATF7IP"
5	"ATF7IP2"
1	"ATG10"
1	"ATG101"
1	"ATG12"
1	"ATG13"
1	"ATG14"
1	"ATG16L1"
2	"ATG16L2"
1	"ATG2A"
1	"ATG2B"
1	"ATG3"
1	"ATG4A"
1	"ATG4B"
1	"ATG4C"
1	"ATG4D"
2	"ATG5"
1	"ATG7"
1	"ATG9A"
2	"ATG9B"
1	"ATIC"
1	"ATL1"
1	"ATL2"
1	"ATL3"
1	"ATM"
2	"ATMIN"
6	"ATN1"
1	"ATOH1"
1	"ATOH7"
1	"ATOH8"
2	"ATOSA"
2	"ATOSB"
1	"ATOX1"
1	"ATP10A"
1	"ATP10B"
1	"ATP10D"
1	"ATP11A"
1	"ATP11B"
1	"ATP11C"
1	"ATP12A"
1	"ATP13A1"
1	"ATP13A2"
1	"ATP13A3"
1	"ATP13A4"
1	"ATP13A5"
1	"ATP1A1"
1	"ATP1A2"
1	"ATP1A3"
1	"ATP1A4"
1	"ATP1B1"
1	"ATP1B2"
1	"ATP1B3"
1	"ATP1B4"
1	"ATP23"
1	"ATP2A1"
1	"ATP2A2"
1	"ATP2A3"
1	"ATP2B1"
1	"ATP2B2"
1	"ATP2B3"
1	"ATP2B4"
1	"ATP2C1"
1	"ATP2C2"
1	"ATP4A"
1	"ATP4B"
1	"ATP5F1A"
1	"ATP5F1B"
1	"ATP5F1C"
1	"ATP5F1D"
3	"ATP5F1E"
5	"ATP5IF1"
1	"ATP5MC1"
1	"ATP5MC2"
1	"ATP5MC3"
1	"ATP5ME"
1	"ATP5MF"
2	"ATP5MF-PTCD1"
1	"ATP5MG"
1	"ATP5MGL"
1	"ATP5MJ"
1	"ATP5MK"
1	"ATP5PB"
1	"ATP5PD"
5	"ATP5PF"
1	"ATP5PO"
5	"ATP6AP1"
1	"ATP6AP2"
1	"ATP6V0A1"
1	"ATP6V0A2"
1	"ATP6V0A4"
1	"ATP6V0B"
1	"ATP6V0C"
1	"ATP6V0D1"
1	"ATP6V0D2"
3	"ATP6V0E1"
3	"ATP6V0E2"
1	"ATP6V1A"
1	"ATP6V1B1"
1	"ATP6V1B2"
1	"ATP6V1C1"
1	"ATP6V1C2"
1	"ATP6V1D"
1	"ATP6V1E1"
1	"ATP6V1E2"
1	"ATP6V1F"
1	"ATP6V1G1"
1	"ATP6V1G2"
19	"ATP6V1G2-DDX39B"
1	"ATP6V1G3"
1	"ATP6V1H"
1	"ATP7A"
1	"ATP7B"
1	"ATP8A1"
1	"ATP8A2"
13	"ATP8B1"
1	"ATP8B2"
1	"ATP8B3"
1	"ATP8B4"
1	"ATP9A"
1	"ATP9B"
2	"ATPAF1"
1	"ATPAF2"
1	"ATPSCKMT"
1	"ATR"
5	"ATRAID"
5	"ATRIP"
1	"ATRN"
1	"ATRNL1"
1	"ATRX"
5	"ATXN1"
2	"ATXN10"
5	"ATXN1L"
2	"ATXN2"
2	"ATXN2L"
1	"ATXN3"
1	"ATXN3L"
3	"ATXN7"
3	"ATXN7L1"
3	"ATXN7L2"
2	"ATXN7L3"
6	"ATXN7L3B"
1	"AUH"
11	"AUNIP"
1	"AUP1"
1	"AURKA"
9	"AURKAIP1"
1	"AURKB"
1	"AURKC"
5	"AUTS2"
5	"AVEN"
1	"AVIL"
1	"AVL9"
4	"AVP"
10	"AVPI1"
1	"AVPR1A"
1	"AVPR1B"
4	"AVPR2"
1	"AWAT1"
1	"AWAT2"
2	"AXDND1"
1	"AXIN1"
1	"AXIN2"
1	"AXL"
1	"AZGP1"
9	"AZI2"
1	"AZIN1"
1	"AZIN2"
1	"AZU1"
1	"B2M"
1	"B3GALNT1"
1	"B3GALNT2"
1	"B3GALT1"
1	"B3GALT2"
2	"B3GALT4"
2	"B3GALT5"
2	"B3GALT6"
1	"B3GAT1"
1	"B3GAT2"
1	"B3GAT3"
2	"B3GLCT"
2	"B3GNT2"
2	"B3GNT3"
2	"B3GNT4"
2	"B3GNT5"
